"gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue",,,,,,,,,,
"1931143621	d415c253-4d61-4459-9d25-4015b9084fb0	eee0f6b6-4903-4549-a72a-714e30671d31	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Porcelia ponderosa (Rusby) Rusby	Porcelia ponderosa (Rusby) Rusby	(Rusby) Rusby	BR	""Floresta Estadual de Antimari", ColocaÃ§ao Ilha," Tipologia """"D""""""	Acre	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-9.8343189	-67.953592							1991-09-29	29	9	1991	3156215	3156215	PRESERVED_SPECIMEN	NY	NY	865637	25	N. A. Murray	1995-01-01T00:00:00	CC0_1_0	The New York Botanical Garden	C. A. Sothers			2024-12-25T06:21:15.153Z	StillImage	COORDINATE_REPROJECTED;MODIFIED_DATE_INVALID",,,,,,,,
"1931108937	d415c253-4d61-4459-9d25-4015b9084fb0	ec60723a-deae-49ed-8c8c-48710f99373e	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Guatteria ponderosa Rusby	Guatteria ponderosa Rusby	Rusby	BO	Apolo		PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-14.720389	-68.41692							1902-09-11	11	9	1902	3156217	3156215	PRESERVED_SPECIMEN	NY	NY	26060	1479			CC0_1_0	The New York Botanical Garden	R. S. Williams	HOLOTYPE		2024-12-25T06:21:22.509Z	StillImage	MODIFIED_DATE_INVALID",,,,,,,,,,
"1930390597	d415c253-4d61-4459-9d25-4015b9084fb0	b988362b-8634-464a-8a0b-43dab431f5e0	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Porcelia ponderosa (Rusby) Rusby	Porcelia ponderosa (Rusby) Rusby	(Rusby) Rusby	BR	Bacia do Rio Purus", Fazenda Nova Olinda, Carreador dos Palmares," ca. 8 km da sede	Acre	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-10.12	-69.22							1993-10-21	21	10	1993	3156215	3156215	PRESERVED_SPECIMEN	NY	NY	865639	572	P. J. M. Maas; L. W. Chatrou	1996-01-01T00:00:00	CC0_1_0	The New York Botanical Garden	M. Silveira			2024-12-25T06:20:45.218Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;MODIFIED_DATE_INVALID",,,,,,,
"1929823433	d415c253-4d61-4459-9d25-4015b9084fb0	918cd7c8-dd55-4923-b01d-faaefc3aecff	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Porcelia ponderosa (Rusby) Rusby	Porcelia ponderosa (Rusby) Rusby	(Rusby) Rusby	BR	Bacia do Rio Purus", Fazenda Nova Olinda, Carreador dos Palmares," ca. 8 km da sede	Acre	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-10.12	-69.22							1993-10-21	21	10	1993	3156215	3156215	PRESERVED_SPECIMEN	NY	NY	865640	572	P. J. M. Maas; L. W. Chatrou	1996-01-01T00:00:00	CC0_1_0	The New York Botanical Garden	M. Silveira			2024-12-25T06:20:16.212Z		GEODETIC_DATUM_ASSUMED_WGS84;MODIFIED_DATE_INVALID",,,,,,,
"1929504410	d415c253-4d61-4459-9d25-4015b9084fb0	7ae2e9b3-c91b-4eb9-9123-06adec185de8	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Guatteria ponderosa Rusby	Guatteria ponderosa Rusby	Rusby	BO	Apolo		PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-14.720389	-68.41692							1902-09-11	11	9	1902	3156217	3156215	PRESERVED_SPECIMEN	NY	NY	26059	1479			CC0_1_0	The New York Botanical Garden	R. S. Williams	HOLOTYPE		2024-12-25T06:19:45.008Z	StillImage	MODIFIED_DATE_INVALID",,,,,,,,,,
"1929454298	d415c253-4d61-4459-9d25-4015b9084fb0	77639b2c-d5e3-4525-b993-9699c43f6b63	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Porcelia ponderosa (Rusby) Rusby	Porcelia ponderosa (Rusby) Rusby	(Rusby) Rusby	BR	Rio Chandless (tributary of Rio Purus)", left bank, Canamari," downstream from IgarapÃ© Canamari	Acre	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-9.3781	-69.9333							2001-10-30	30	10	2001	3156215	3156215	PRESERVED_SPECIMEN	NY	NY	710138	11215	P. J. M. Maas		CC0_1_0	The New York Botanical Garden	D. C. Daly			2024-12-25T06:19:58.050Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;MODIFIED_DATE_INVALID",,,,,,,
"1928989404	d415c253-4d61-4459-9d25-4015b9084fb0	56666580-77e5-47f0-8f6b-c107fc9b9935	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Guatteria ponderosa Rusby	Guatteria ponderosa Rusby	Rusby	BO	Apolo		PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-14.720389	-68.41692							1902-09-11	11	9	1902	3156217	3156215	PRESERVED_SPECIMEN	NY	NY	26058	1479			CC0_1_0	The New York Botanical Garden	R. S. Williams	HOLOTYPE		2024-12-25T06:22:15.935Z	StillImage	MODIFIED_DATE_INVALID",,,,,,,,,,
"1928699301	d415c253-4d61-4459-9d25-4015b9084fb0	41d2ac7e-162a-47db-9aff-54c14634b795	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Porcelia ponderosa (Rusby) Rusby	Porcelia ponderosa (Rusby) Rusby	(Rusby) Rusby	BR	Rio Purus", left bank," ColocaÃ§ao Santa Helena; trail to Rio Envira.	Acre	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-9.13	-70.1769							2001-10-26	26	10	2001	3156215	3156215	PRESERVED_SPECIMEN	NY	NY	710137	11109	P. J. M. Maas		CC0_1_0	The New York Botanical Garden	D. C. Daly			2024-12-25T06:18:47.152Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;MODIFIED_DATE_INVALID",,,,,,,,
"1928220017	d415c253-4d61-4459-9d25-4015b9084fb0	1fdc8c58-2b97-409e-b714-f5bf0b169f04	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Porcelia ponderosa (Rusby) Rusby	Porcelia ponderosa (Rusby) Rusby	(Rusby) Rusby	BR	Rio TarauacÃ¡", river at low water. Seringal Universo," ColocaÃ§ao Cumaru.	Acre	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862	-8.42317	-71.31483							1994-09-21	21	9	1994	3156215	3156215	PRESERVED_SPECIMEN	NY	NY	710096	8295	N. A. Murray	2004-06-06T00:00:00	CC0_1_0	The New York Botanical Garden	D. C. Daly			2024-12-25T06:21:48.942Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;MODIFIED_DATE_INVALID",,,,,,,,
"1898922526	18da9e5d-8966-4893-bf70-b3911152d991	ce08f787-fa28-487c-b498-cc983785b8f6	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Porcelia ponderosa (Rusby) Rusby	Porcelia ponderosa	Rusby	BO	4 km. WNW of center of Buena Vista along highway to San Carlos"," 1 km. E of El Fraile.	Santa Cruz	PRESENT		eac88d99-9f6c-4031-8fc4-8088f0e0dfe7	-17.45	-63.7			360.0	0.0			1990-10-30	30	10	1990	3156215	3156215	PRESERVED_SPECIMEN	Universidad Nacional de Colombia (UNAL)	COL	339093	39608	M. Nee	1990-01-01T00:00:00	CC_BY_4_0	Universidad Nacional de Colombia	M. Nee			2024-01-25T05:38:17.431Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,,,,,,
