Location,species,Year,JulianDay
,Ceiba pubiflora,1991,126
,Ceiba pubiflora,1991,126
,Ceiba pubiflora,1990,160
,Ceiba pubiflora,1990,160
,Ceiba pubiflora,1990,161
,Ceiba pubiflora,1990,190
,Ceiba pubiflora,1990,160
,Ceiba pubiflora,1989,153
,Ceiba pubiflora,1989,158
,Ceiba pubiflora,1989,158
,Ceiba pubiflora,1989,153
,Ceiba pubiflora,1988,154
,Ceiba pubiflora,1988,160
,Ceiba pubiflora,1988,149
,Ceiba pubiflora,1988,168
,Ceiba pubiflora,1988,184
,Ceiba pubiflora,1988,154
,Ceiba pubiflora,1988,160
,Ceiba pubiflora,1988,160
,Ceiba pubiflora,1988,160
,Ceiba pubiflora,1988,160
,Ceiba pubiflora,1988,154
,Ceiba pubiflora,1988,149
,Ceiba pubiflora,1988,184
,Ceiba pubiflora,1988,168
,Ceiba pubiflora,1988,160
,Ceiba pubiflora,1987,143
,Ceiba pubiflora,1987,143
,Ceiba pubiflora,1986,91
,Ceiba pubiflora,1986,105
,Ceiba pubiflora,1986,124
,Ceiba pubiflora,1986,91
,Ceiba pubiflora,1986,134
,Ceiba pubiflora,1986,105
,Ceiba pubiflora,1986,124
,Ceiba pubiflora,1986,134
,Ceiba pubiflora,1986,91
,Ceiba pubiflora,1985,150
,Ceiba pubiflora,1985,136
,Ceiba pubiflora,1985,150
,Ceiba pubiflora,1984,142
,Ceiba pubiflora,1984,119
,Ceiba pubiflora,1984,116
,Ceiba pubiflora,1984,154
,Ceiba pubiflora,1984,142
,Ceiba pubiflora,1984,116
,Ceiba pubiflora,1984,116
,Ceiba pubiflora,1984,142
,Ceiba pubiflora,1984,119
,Ceiba pubiflora,1984,142
,Ceiba pubiflora,1984,154
,Ceiba pubiflora,1984,132
,Ceiba pubiflora,1983,188
,Ceiba pubiflora,1983,139
,Ceiba pubiflora,1983,139
,Ceiba pubiflora,1983,188
,Ceiba pubiflora,1982,137
,Ceiba pubiflora,1982,136
,Ceiba pubiflora,1981,114
,Ceiba pubiflora,1981,114
,Ceiba pubiflora,1981,114
,Ceiba pubiflora,1981,114
,Ceiba pubiflora,1981,114
,Ceiba pubiflora,1981,114
,Ceiba pubiflora,1981,114
