"species","Year","JulianDay"
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2014",19
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","1951",11
"Aeschynomene indica",NA,NA
"Aeschynomene indica","1946",11
"Aeschynomene indica","1970",55
"Aeschynomene indica","1969",20
"Aeschynomene indica","1974",25
"Aeschynomene indica","1950",25
"Aeschynomene indica","1969",7
"Aeschynomene indica","1970",40
"Aeschynomene indica","1938",29
"Aeschynomene indica","1920",53
"Aeschynomene indica",NA,NA
"Aeschynomene indica","1966",26
"Aeschynomene indica","1989",40
"Aeschynomene indica","1998",41
"Aeschynomene indica","1988",57
"Aeschynomene indica","2000",56
"Aeschynomene indica","2014",1
"Aeschynomene indica",NA,NA
"Aeschynomene indica",NA,NA
"Aeschynomene indica","1987",58
