species,Year,JulianDay,Location
Aeschynomene indica,1918,42,NA
Aeschynomene indica,2013,52,NA
Aeschynomene indica,2000,40,NA
Aeschynomene indica,1996,30,NA
Aeschynomene indica,1996,26,NA
Aeschynomene indica,2016,54,NA
Aeschynomene indica,1996,52,NA
Aeschynomene indica,1995,51,NA
Aeschynomene indica,1993,44,NA
Aeschynomene indica,1973,1,NA
Aeschynomene indica,2000,1,NA
Aeschynomene indica,1935,47,NA
Aeschynomene indica,2005,56,NA
Aeschynomene indica,1996,10,NA
Aeschynomene indica,2005,57,NA
Aeschynomene indica,1995,1,NA
Aeschynomene indica,1980,48,NA
Aeschynomene indica,1996,46,NA
Aeschynomene indica,2002,29,NA
Aeschynomene indica,2006,54,NA
Aeschynomene indica,1998,34,NA
Aeschynomene indica,1980,49,NA
Aeschynomene indica,2009,24,NA
Aeschynomene indica,2014,55,NA
Aeschynomene indica,1931,37,NA
Aeschynomene indica,1935,53,NA
Aeschynomene indica,1998,24,NA
Aeschynomene indica,2006,59,NA
Aeschynomene indica,1996,40,NA
Aeschynomene indica,1972,26,NA
Aeschynomene indica,2007,16,NA
Aeschynomene indica,2006,32,NA
Aeschynomene indica,2005,58,NA
Aeschynomene indica,2004,49,NA
Aeschynomene indica,2001,30,NA
Aeschynomene indica,1976,5,NA
Aeschynomene indica,2012,54,NA
Aeschynomene indica,2012,54,NA
Aeschynomene indica,2012,54,NA
Aeschynomene indica,2013,45,NA
Aeschynomene indica,2013,45,NA
Aeschynomene indica,2013,45,NA
Aeschynomene indica,2013,45,NA
Aeschynomene indica,2013,45,NA
Aeschynomene indica,2013,45,NA
Aeschynomene indica,2013,45,NA
Aeschynomene indica,2013,45,NA
Aeschynomene indica,2013,45,NA
Aeschynomene indica,2019,36,NA
Aeschynomene indica,1965,58,NA
Aeschynomene indica,1954,59,NA
Aeschynomene indica,1968,53,NA
Aeschynomene indica,1968,24,NA
Aeschynomene indica,1935,12,NA
Aeschynomene indica,1938,53,NA
Aeschynomene indica,1900,43,NA
Aeschynomene indica,1942,24,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,1886,49,NA
Aeschynomene indica,1966,55,NA
Aeschynomene indica,1977,13,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,1955,47,NA
Aeschynomene indica,1949,24,NA
Aeschynomene indica,1957,35,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,1968,23,NA
Aeschynomene indica,1981,56,NA
Aeschynomene indica,1975,54,NA
Aeschynomene indica,1972,44,NA
Aeschynomene indica,1980,51,NA
Aeschynomene indica,1952,17,NA
Aeschynomene indica,1950,41,NA
Aeschynomene indica,1947,33,NA
Aeschynomene indica,1938,39,NA
Aeschynomene indica,1938,39,NA
Aeschynomene indica,1956,40,NA
Aeschynomene indica,1912,55,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,1886,49,NA
